Johanneshof Reinisch Pinot Noir,143.0,13.0,750,7440201,Rött vin,
Dobogó Tokaji Furmint,187.0,13.5,750,7598701,Vitt vin,
Château de Cazeneuve Carignan,250.0,13.5,750,7105201,Rött vin,
Engelholms Pacific Pilsner,21.0,5.0,330,3067603,Öl,Ljus lager
Speyside Sherry Cask 21 Years,1537.0,55.1,700,8591801,Whisky,Malt
Giró i Giró Montaner Brut Nature Gran Reserva,151.0,11.5,750,7723101,Mousserande vin,Vitt Torrt
Clynelish No 4051 17 Years,1583.0,55.0,700,8515601,Whisky,Malt
Albarossa,252.0,14.0,750,7321901,Rött vin,
Los Frailes Monastrell Garnacha,115.0,13.5,750,7444301,Rött vin,
Auchentoshan Maltbarn Bourbon Cask 23 Years,1735.0,52.0,700,8537101,Whisky,Malt
Albin Jacumin Châteauneuf-du-Pape,246.0,14.5,750,7551101,Rött vin,
Bibbiano Chianti Classico,147.0,13.5,750,7539001,Rött vin,
Chapter 7 Irish Whiskey Bourbon Hogshead 14 Years,1113.0,56.7,700,8771001,Whisky,Malt
Amour de Deutz,796.0,12.0,375,9602502,Mousserande vin,Vitt Torrt
Deutz Exclusive Gift Box,2397.0,12.0,1125,9696209,Mousserande vin,
Villa Spinosa Valpolicella Classico,130.0,12.0,750,7249001,Rött vin,
D'Aria Sauvignon Blanc,146.0,13.0,750,7337501,Vitt vin,
Fairtransport Tres Hombres 21 Años,885.0,41.6,700,8712101,Rom,Mörk
Donatella Cinelli Colombini,1104.0,14.0,4500,7475209,Rött vin,
Abrigo Giovanni Piemonte Mix 1,732.0,13.5,4500,7096809,Rött vin,
